IQFILE DT FS RR
IQ_1707209064.txt 60 119.87 15.0
IQ_1707209844.txt 60 119.68 16.0
IQ_1707211597.txt 60 119.89 17.0
IQ_1707212359.txt 60 119.87 18.0
IQ_1707213915.txt 60 119.98 19.0
IQ_1707215224.txt 60 119.72 20.0
IQ_1707218206.txt 60 119.72 21.0
IQ_1707219190.txt 60 119.88 22.0
IQ_1707219593.txt 60 119.73 23.0
IQ_1707220933.txt 60 119.81 24.0
IQ_1707208918.txt 60 119.53 15.0
IQ_1707210112.txt 60 119.48 16.0
IQ_1707211496.txt 60 120.03 17.0
IQ_1707212477.txt 60 119.69 18.0
IQ_1707213993.txt 60 119.70 19.0
IQ_1707215302.txt 60 120.15 20.0
IQ_1707218126.txt 60 119.54 21.0
IQ_1707219280.txt 60 119.52 22.0
IQ_1707219509.txt 60 119.60 23.0
IQ_1707220042.txt 60 119.84 24.0
IQ_1707208208.txt 60 119.80 15.0
IQ_1702042834.txt 60 118.02 16.0
IQ_1707211418.txt 60 119.65 17.0
IQ_1707212968.txt 60 119.81 18.0
IQ_1701654404.txt 60 119.19 19.0
IQ_1707215387.txt 60 119.60 20.0
IQ_1707217693.txt 60 119.69 21.0
IQ_1707219016.txt 60 119.65 22.0
IQ_1707219426.txt 60 119.72 23.0
IQ_1707219961.txt 60 119.71 24.0
IQ_1707210244.txt 60 119.65 15.0
IQ_1701649522.txt 60 119.24 16.0
IQ_1707211696.txt 60 119.59 17.0
IQ_1707212585.txt 60 119.71 18.0
IQ_1707213810.txt 60 119.84 19.0
IQ_1707215516.txt 60 119.64 20.0
IQ_1707217771.txt 60 119.89 21.0
IQ_1707219095.txt 60 119.46 22.0
IQ_1707219690.txt 60 119.56 23.0
IQ_1707219878.txt 60 119.84 24.0
IQ_1701644244.txt 60 118.85 18.0
IQ_1701649910.txt 60 119.17 14.0
IQ_1701644383.txt 60 119.40 21.0
IQ_1707467943.txt 60 119.67 23.0
IQ_1707469086.txt 60 119.60 16.0
IQ_1707467077.txt 60 119.88 17.0
IQ_1707469619.txt 60 119.75 20.0
IQ_1707470452.txt 60 119.87 24.0
